measurement_index,measurement_time,measurement_type,data_index,F1,F2,F3,F4,F5,F6,F7,F8
0,2025-10-05 15:37:07,LED Only,0,32,40,30,23,15,14,15,9
0,2025-10-05 15:37:07,LED Only,1,32,40,30,24,15,14,16,9
0,2025-10-05 15:37:07,LED Only,2,31,41,30,24,15,14,15,9
0,2025-10-05 15:37:07,LED Only,3,37,90,56,76,103,102,87,50
0,2025-10-05 15:37:07,LED Only,4,7,51,27,54,87,88,71,41
0,2025-10-05 15:37:07,UV Only,0,7,51,28,53,87,88,72,41
0,2025-10-05 15:37:07,UV Only,1,7,51,28,53,87,88,72,41
0,2025-10-05 15:37:07,UV Only,2,0,0,0,0,0,0,0,0
0,2025-10-05 15:37:07,UV Only,3,0,0,0,0,0,0,0,0
0,2025-10-05 15:37:07,UV Only,4,0,0,0,0,0,0,0,0
0,2025-10-05 15:37:07,LED+UV,0,0,0,0,0,0,0,0,0
0,2025-10-05 15:37:07,LED+UV,1,31,40,30,23,15,14,14,8
0,2025-10-05 15:37:07,LED+UV,2,31,40,30,23,15,14,14,8
0,2025-10-05 15:37:07,LED+UV,3,31,40,30,23,15,14,14,8
0,2025-10-05 15:37:07,LED+UV,4,31,40,30,24,15,14,15,8
1,2025-10-05 15:38:08,LED Only,0,29,38,28,23,15,13,15,8
1,2025-10-05 15:38:08,LED Only,1,0,0,0,0,0,0,0,0
1,2025-10-05 15:38:08,LED Only,2,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,LED Only,3,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,LED Only,4,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,UV Only,0,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,UV Only,1,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,UV Only,2,7,50,27,53,87,87,71,41
1,2025-10-05 15:38:08,UV Only,3,0,0,0,0,0,0,0,0
1,2025-10-05 15:38:08,UV Only,4,0,0,0,0,0,0,0,0
1,2025-10-05 15:38:08,LED+UV,0,30,40,29,23,14,13,14,8
1,2025-10-05 15:38:08,LED+UV,1,29,38,28,23,15,14,16,9
1,2025-10-05 15:38:08,LED+UV,2,29,38,28,23,15,14,16,9
1,2025-10-05 15:38:08,LED+UV,3,29,38,28,23,15,14,16,9
1,2025-10-05 15:38:08,LED+UV,4,31,40,30,24,14,13,14,8
2,2025-10-05 15:39:08,LED Only,0,29,38,28,23,15,14,15,9
2,2025-10-05 15:39:08,LED Only,1,0,0,0,0,0,0,0,0
2,2025-10-05 15:39:08,LED Only,2,7,50,27,53,87,88,71,41
2,2025-10-05 15:39:08,LED Only,3,7,50,27,53,87,88,70,41
2,2025-10-05 15:39:08,LED Only,4,7,50,27,53,87,88,71,41
2,2025-10-05 15:39:08,UV Only,0,7,50,27,53,87,88,71,41
2,2025-10-05 15:39:08,UV Only,1,7,50,27,53,87,88,71,41
2,2025-10-05 15:39:08,UV Only,2,0,0,0,0,0,0,0,0
2,2025-10-05 15:39:08,UV Only,3,0,0,0,0,0,0,0,0
2,2025-10-05 15:39:08,UV Only,4,0,0,0,0,0,0,0,0
2,2025-10-05 15:39:08,LED+UV,0,31,40,30,24,14,13,14,8
2,2025-10-05 15:39:08,LED+UV,1,31,40,30,24,14,13,14,8
2,2025-10-05 15:39:08,LED+UV,2,31,40,30,24,14,13,14,8
2,2025-10-05 15:39:08,LED+UV,3,0,0,0,0,0,0,0,0
2,2025-10-05 15:39:08,LED+UV,4,0,0,0,0,0,0,0,0
3,2025-10-05 15:40:07,LED Only,0,0,0,0,0,0,0,0,0
3,2025-10-05 15:40:07,LED Only,1,0,0,0,0,0,0,0,0
3,2025-10-05 15:40:07,LED Only,2,0,0,0,0,0,0,0,0
3,2025-10-05 15:40:07,LED Only,3,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,LED Only,4,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,UV Only,0,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,UV Only,1,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,UV Only,2,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,UV Only,3,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,UV Only,4,7,50,27,53,87,87,71,41
3,2025-10-05 15:40:07,LED+UV,0,0,0,0,0,0,0,0,0
3,2025-10-05 15:40:07,LED+UV,1,29,38,28,23,15,15,16,9
3,2025-10-05 15:40:07,LED+UV,2,29,38,28,23,15,15,16,9
3,2025-10-05 15:40:07,LED+UV,3,29,38,28,23,15,15,16,9
3,2025-10-05 15:40:07,LED+UV,4,31,39,30,24,15,14,15,9
4,2025-10-05 15:41:07,LED Only,0,29,37,28,23,15,14,15,9
4,2025-10-05 15:41:07,LED Only,1,0,0,0,0,0,0,0,0
4,2025-10-05 15:41:07,LED Only,2,7,50,27,53,86,87,70,41
4,2025-10-05 15:41:07,LED Only,3,7,49,27,53,86,87,70,41
4,2025-10-05 15:41:07,LED Only,4,7,49,27,53,86,87,70,41
4,2025-10-05 15:41:07,UV Only,0,7,50,27,53,86,87,70,41
4,2025-10-05 15:41:07,UV Only,1,7,50,27,53,86,87,70,41
4,2025-10-05 15:41:07,UV Only,2,0,0,0,0,0,0,0,0
4,2025-10-05 15:41:07,UV Only,3,0,0,0,0,0,0,0,0
4,2025-10-05 15:41:07,UV Only,4,0,0,0,0,0,0,0,0
4,2025-10-05 15:41:07,LED+UV,0,31,39,30,24,14,13,13,8
4,2025-10-05 15:41:07,LED+UV,1,31,39,30,24,14,13,13,8
4,2025-10-05 15:41:07,LED+UV,2,31,39,30,24,14,13,13,8
4,2025-10-05 15:41:07,LED+UV,3,31,41,30,24,15,14,15,9
4,2025-10-05 15:41:07,LED+UV,4,31,41,30,24,15,14,15,9
5,2025-10-05 15:42:07,LED Only,0,29,38,28,23,15,14,15,9
5,2025-10-05 15:42:07,LED Only,1,0,0,0,0,0,0,0,0
5,2025-10-05 15:42:07,LED Only,2,7,49,27,53,86,86,70,41
5,2025-10-05 15:42:07,LED Only,3,7,49,27,53,86,86,71,41
5,2025-10-05 15:42:07,LED Only,4,7,49,27,53,86,87,70,41
5,2025-10-05 15:42:07,UV Only,0,7,49,27,53,86,86,70,41
5,2025-10-05 15:42:07,UV Only,1,7,49,27,53,86,86,70,41
5,2025-10-05 15:42:07,UV Only,2,7,49,27,53,86,86,70,41
5,2025-10-05 15:42:07,UV Only,3,0,0,0,0,0,0,0,0
5,2025-10-05 15:42:07,UV Only,4,0,0,0,0,0,0,0,0
5,2025-10-05 15:42:07,LED+UV,0,31,40,30,24,14,14,14,8
5,2025-10-05 15:42:07,LED+UV,1,29,38,28,23,15,14,15,9
